Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,3500,3640,3500,3610,3436.709717,455088400
2020-12-17,3610,3620,3520,3540,3370.070068,249797800
2020-12-18,3500,3540,3500,3510,3341.51001,187856600
2020-12-21,3530,3610,3510,3520,3351.030029,267970200
2020-12-22,3500,3540,3340,3360,3198.710449,311860000
2020-12-23,3350,3420,3240,3320,3160.630615,240067600
2020-12-28,3370,3460,3280,3430,3265.350342,178138100
2020-12-29,3500,3530,3400,3420,3255.830322,184525500
2020-12-30,3420,3420,3310,3310,3151.110596,150844500
2021-01-04,3320,3500,3310,3490,3322.469971,165339800
2021-01-05,3480,3480,3420,3470,3303.430176,157800700
2021-01-06,3470,3490,3330,3370,3208.230469,177877900
2021-01-07,3390,3450,3380,3390,3227.270264,140221900
2021-01-08,3450,3620,3440,3570,3398.629883,492643700
2021-01-11,3590,3640,3570,3600,3427.189697,271231200
2021-01-12,3600,3620,3500,3510,3341.51001,189779500
2021-01-13,3550,3550,3460,3480,3312.950195,162329300
2021-01-14,3480,3590,3470,3500,3331.98999,187448400
2021-01-15,3510,3540,3450,3480,3312.950195,133304300
2021-01-18,3480,3520,3430,3450,3284.390137,138913100
2021-01-19,3470,3490,3370,3410,3246.310303,144100700
2021-01-20,3420,3480,3380,3470,3303.430176,116098100
2021-01-21,3500,3520,3460,3480,3312.950195,81801900
2021-01-22,3420,3440,3360,3390,3227.270264,165024200
2021-01-25,3370,3410,3310,3370,3208.230469,118131800
2021-01-26,3360,3390,3260,3260,3103.510742,111414500
2021-01-27,3340,3380,3260,3380,3217.750488,159144700
2021-01-28,3280,3330,3230,3240,3084.470703,142648800
2021-01-29,3290,3290,3110,3110,2960.711182,191915100
2021-02-01,3130,3250,3040,3230,3074.950928,133929600
2021-02-02,3300,3330,3250,3270,3113.030762,114734600
2021-02-03,3250,3330,3220,3240,3084.470703,86433900
2021-02-04,3270,3330,3260,3290,3132.070557,80319500
2021-02-05,3320,3320,3270,3290,3132.070557,52630500
2021-02-08,3300,3370,3270,3280,3122.550781,96635600
2021-02-09,3250,3300,3180,3200,3046.390869,157479200
2021-02-10,3180,3220,3160,3190,3036.87085,125221400
2021-02-11,3220,3230,3170,3190,3036.87085,79940700
2021-02-15,3200,3260,3200,3220,3065.430908,88883300
2021-02-16,3200,3250,3190,3210,3055.910889,82026300
2021-02-17,3220,3250,3140,3150,2998.791016,121105300
2021-02-18,3190,3270,3180,3180,3027.351074,151200300
2021-02-19,3180,3220,3170,3210,3055.910889,63214600
2021-02-22,3210,3240,3170,3170,3017.831055,100425500
2021-02-23,3200,3480,3200,3470,3303.430176,354966200
2021-02-24,3490,3550,3460,3480,3312.950195,303017100
2021-02-25,3510,3570,3450,3490,3322.469971,226833000
2021-02-26,3450,3510,3410,3490,3322.469971,230007700
2021-03-01,3490,3510,3470,3490,3322.469971,91513500
2021-03-02,3490,3500,3440,3460,3293.910156,169061400
2021-03-03,3480,3480,3420,3440,3274.870117,82610700
2021-03-04,3420,3430,3350,3360,3198.710449,142322100
2021-03-05,3340,3370,3320,3320,3160.630615,128546000
2021-03-08,3360,3400,3330,3340,3179.67041,80094900
2021-03-09,3370,3390,3280,3290,3132.070557,110090800
2021-03-10,3340,3420,3310,3400,3236.790283,91631900
2021-03-12,3440,3480,3430,3450,3284.390137,100195200
2021-03-15,3440,3450,3380,3380,3217.750488,50077300
2021-03-16,3400,3410,3360,3360,3198.710449,60111200
2021-03-17,3410,3430,3370,3390,3227.270264,61701400
2021-03-18,3450,3480,3430,3450,3284.390137,101896400
2021-03-19,3410,3440,3380,3440,3274.870117,140000000
2021-03-22,3440,3440,3380,3380,3217.750488,53870300
2021-03-23,3390,3420,3350,3360,3198.710449,55323200
2021-03-24,3320,3390,3320,3370,3208.230469,67173200
2021-03-25,3400,3430,3380,3410,3246.310303,107607200
2021-03-26,3410,3500,3390,3490,3322.469971,106810400
