B,G,R,Target
192,158,73,Biru
194,157,73,Biru
193,159,62,Biru
192,158,67,Biru
192,158,68,Biru
189,159,64,Biru
184,157,55,Biru
186,156,57,Biru
202,160,65,Biru
200,158,59,Biru
198,157,61,Biru
196,158,65,Biru
195,160,69,Biru
192,160,72,Biru
187,159,69,Biru
190,159,61,Biru
193,155,63,Biru
192,152,70,Biru
191,156,71,Biru
203,164,68,Biru
192,161,55,Biru
190,159,63,Biru
190,158,60,Biru
193,156,67,Biru
195,163,58,Biru
203,164,68,Biru
197,160,61,Biru
187,157,61,Biru
194,159,62,Biru
189,153,55,Biru
162,128,56,Biru
163,126,57,Biru
168,132,59,Biru
171,136,59,Biru
170,129,60,Biru
168,128,59,Biru
171,133,62,Biru
166,134,56,Biru
164,129,51,Biru
161,126,52,Biru
163,129,46,Biru
159,125,39,Biru
167,129,44,Biru
168,131,46,Biru
162,130,49,Biru
206,146,0,Biru
208,148,0,Biru
206,144,0,Biru
207,144,0,Biru
204,148,0,Biru
215,149,0,Biru
212,150,0,Biru
210,149,0,Biru
213,153,0,Biru
214,153,0,Biru
209,146,0,Biru
205,144,0,Biru
211,144,0,Biru
208,146,0,Biru
204,143,0,Biru
210,145,0,Biru
209,143,0,Biru
207,143,0,Biru
202,143,0,Biru
199,146,0,Biru
220,160,45,Biru
219,160,50,Biru
217,163,51,Biru
216,163,47,Biru
215,159,32,Biru
218,161,31,Biru
214,158,27,Biru
214,161,26,Biru
213,160,34,Biru
212,157,24,Biru
219,162,32,Biru
226,165,42,Biru
227,166,42,Biru
223,161,40,Biru
222,161,41,Biru
220,160,28,Biru
219,159,28,Biru
217,158,36,Biru
224,165,48,Biru
221,167,46,Biru
216,162,21,Biru
212,159,23,Biru
216,158,26,Biru
98,124,120,Kuning
101,124,123,Kuning
102,120,120,Kuning
98,118,117,Kuning
97,120,118,Kuning
103,120,119,Kuning
104,120,119,Kuning
106,123,121,Kuning
96,118,114,Kuning
99,118,115,Kuning
100,115,116,Kuning
105,122,125,Kuning
104,118,120,Kuning
103,119,123,Kuning
100,119,199,Kuning
110,126,126,Kuning
105,120,119,Kuning
104,121,120,Kuning
102,120,121,Kuning
102,119,124,Kuning
105,125,124,Kuning
95,123,124,Kuning
94,123,124,Kuning
109,128,125,Kuning
101,126,127,Kuning
103,126,126,Kuning
91,102,101,Kuning
106,130,129,Kuning
109,130,127,Kuning
107,129,126,Kuning
113,131,127,Kuning
110,129,121,Kuning
111,129,121,Kuning
115,131,128,Kuning
117,129,122,Kuning
116,130,121,Kuning
115,133,123,Kuning
112,125,123,Kuning
113,128,118,Kuning
112,127,121,Kuning
113,127,122,Kuning
131,156,154,Kuning
128,158,155,Kuning
127,158,155,Kuning
126,156,154,Kuning
125,156,154,Kuning
131,152,150,Kuning
130,156,154,Kuning
129,154,151,Kuning
133,154,150,Kuning
135,156,151,Kuning
136,158,152,Kuning
128,148,143,Kuning
134,149,147,Kuning
123,145,142,Kuning
130,152,150,Kuning
122,147,144,Kuning
125,151,146,Kuning
131,149,144,Kuning
128,145,141,Kuning
124,153,145,Kuning
132,148,146,Kuning
121,147,142,Kuning
140,159,157,Kuning
142,159,157,Kuning
148,160,161,Kuning
146,159,160,Kuning
130,157,154,Kuning
126,158,154,Kuning
129,159,155,Kuning
127,159,155,Kuning
144,160,158,Kuning
138,160,158,Kuning
133,160,158,Kuning
144,162,161,Kuning
145,158,158,Kuning
143,157,156,Kuning
141,157,156,Kuning
149,162,161,Kuning
151,162,161,Kuning
126,158,154,Kuning
93,166,187,Kuning
95,166,186,Kuning
96,165,185,Kuning
98,162,184,Kuning
100,165,184,Kuning
91,164,189,Kuning
87,164,186,Kuning
93,164,189,Kuning
81,164,186,Kuning
85,164,184,Kuning
94,164,189,Kuning
94,164,188,Kuning
94,163,187,Kuning
80,163,187,Kuning
86,161,191,Kuning
90,163,188,Kuning
82,163,185,Kuning
89,160,191,Kuning
92,161,183,Kuning
90,160,191,Kuning
150,163,162,Kuning
149,159,158,Kuning
169,126,136,Kuning
172,120,120,Kuning
175,127,132,Kuning
176,125,138,Kuning
167,127,135,Kuning
179,123,123,Kuning
180,122,119,Kuning
129,135,136,Kuning
128,132,135,Kuning
103,98,239,Merah
99,94,237,Merah
100,95,238,Merah
99,95,234,Merah
102,96,240,Merah
97,95,234,Merah
97,96,231,Merah
95,96,236,Merah
101,98,236,Merah
101,97,232,Merah
93,97,232,Merah
89,97,230,Merah
93,99,233,Merah
94,99,233,Merah
104,99,239,Merah
88,97,235,Merah
95,98,235,Merah
99,100,237,Merah
100,99,236,Merah
96,98,234,Merah
97,98,233,Merah
98,106,234,Merah
90,88,231,Merah
90,95,235,Merah
91,100,235,Merah
92,99,234,Merah
101,96,235,Merah
85,95,236,Merah
86,97,237,Merah
87,95,236,Merah
88,95,236,Merah
92,90,236,Merah
93,91,232,Merah
85,95,236,Merah
87,93,234,Merah
97,89,236,Merah
99,93,233,Merah
100,93,234,Merah
91,89,235,Merah
91,94,233,Merah
94,90,236,Merah
90,89,235,Merah
92,92,233,Merah
92,90,236,Merah
79,82,207,Merah
80,81,216,Merah
83,81,218,Merah
85,93,227,Merah
82,80,219,Merah
86,83,211,Merah
88,82,218,Merah
78,86,216,Merah
89,84,211,Merah
94,90,209,Merah
87,83,218,Merah
87,84,220,Merah
81,88,220,Merah
80,88,220,Merah
77,87,218,Merah
80,87,218,Merah
82,80,222,Merah
81,83,224,Merah
79,85,219,Merah
78,82,219,Merah
78,80,220,Merah
84,84,218,Merah
85,84,220,Merah
82,84,215,Merah
83,82,216,Merah
86,86,218,Merah
84,81,220,Merah
85,84,219,Merah
84,86,214,Merah
80,86,221,Merah
85,85,217,Merah
75,86,217,Merah
74,83,216,Merah
81,84,220,Merah
82,82,218,Merah
80,81,220,Merah
79,83,224,Merah
102,100,202,Merah
84,85,199,Merah
76,81,205,Merah
73,84,201,Merah
73,78,206,Merah
76,76,204,Merah
79,82,205,Merah
77,84,206,Merah
82,85,207,Merah
73,81,205,Merah
71,76,206,Merah
73,84,201,Merah
94,89,206,Merah
91,87,207,Merah
101,95,209,Merah
100,90,204,Merah
106,92,207,Merah
103,95,214,Merah
100,96,209,Merah
86,86,206,Merah
94,94,206,Merah
96,94,209,Merah
103,95,214,Merah
99,98,206,Merah
83,90,207,Merah
80,84,203,Merah
96,94,198,Merah
88,87,207,Merah
85,86,207,Merah
81,82,201,Merah
87,86,206,Merah
82,87,205,Merah
102,93,201,Merah
98,94,199,Merah
97,94,198,Merah
97,89,192,Merah
90,91,199,Merah
92,92,202,Merah
98,90,201,Merah
103,90,203,Merah
98,93,195,Merah
89,93,194,Merah
89,89,198,Merah
100,89,197,Merah
96,92,198,Merah
93,94,195,Merah
91,91,200,Merah
157,143,199,Merah
153,144,196,Merah
160,153,208,Merah
154,146,207,Merah
133,115,209,Merah
126,112,206,Merah
